City_ID,City,Country,Max Temp,Weather Discription,Lat,Lng,Hotel Name
5,Arraial Do Cabo,BR,73.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
7,Bengkulu,ID,76.03,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
13,Rikitea,PF,77.59,moderate rain,-23.1203,-134.9692,People ThankYou
15,Sao Joao Da Barra,BR,73.38,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
19,Matara,LK,79.54,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
23,Mackay,AU,74.68,overcast clouds,-21.15,149.2,International Lodge Motel
25,Karratha,AU,74.7,clear sky,-20.7377,116.8463,ibis Styles Karratha
26,Lompoc,US,78.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
33,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
37,Suleja,NG,74.82,overcast clouds,9.1758,7.1808,Capy Motel
39,Kutum,SD,76.82,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
44,Poum,NC,77.0,clear sky,-20.2333,164.0167,
46,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
51,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
52,Bafq,IR,75.72,broken clouds,31.6128,55.4107,Alamdar Hotel
55,Omboue,GA,78.03,moderate rain,-1.5746,9.2618,Hotel Olako
64,Atuona,PF,78.91,few clouds,-9.8,-139.0333,Villa Enata
72,Bambous Virieux,MU,73.65,few clouds,-20.3428,57.7575,Casa Tia Villa
73,Kasongo-Lunda,CD,75.02,overcast clouds,-6.4667,16.8167,
79,Saint-Pierre,RE,73.9,few clouds,-21.3393,55.4781,Alize Plage
81,Carutapera,BR,77.5,broken clouds,-1.195,-46.02,Lidera
85,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
90,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
101,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
102,Mahebourg,MU,73.69,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
120,Kefamenanu,ID,72.55,broken clouds,-9.4467,124.4781,Sokowindo Losmen
127,Antsohihy,MG,72.39,clear sky,-14.8796,47.9875,Hotel de Ville
128,Butte,US,76.3,broken clouds,39.6499,-121.5677,Meadowbrook Oaks Mobile Home Park
