City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Discription
0,Ushuaia,AR,2022-05-06 22:08:23,-54.8,-68.3,42.46,65,40,20.71,scattered clouds
1,Punta Arenas,CL,2022-05-06 22:09:38,-53.15,-70.9167,44.71,81,100,9.22,light rain
2,New Norfolk,AU,2022-05-06 22:12:05,-42.7826,147.0587,49.66,77,100,1.99,light rain
3,Longyearbyen,SJ,2022-05-06 22:12:06,78.2186,15.6401,26.44,68,75,5.75,broken clouds
4,Houma,US,2022-05-06 22:09:04,29.5958,-90.7195,89.01,71,1,12.35,clear sky
5,Arraial Do Cabo,BR,2022-05-06 22:12:07,-22.9661,-42.0278,73.26,73,0,16.11,clear sky
6,Cherskiy,RU,2022-05-06 22:12:08,68.75,161.3,32.45,100,100,3.91,light snow
7,Bengkulu,ID,2022-05-06 22:09:40,-3.8004,102.2655,76.03,89,100,6.22,overcast clouds
8,Cape Town,ZA,2022-05-06 22:08:09,-33.9258,18.4232,57.34,89,86,13.0,overcast clouds
9,Busselton,AU,2022-05-06 22:09:37,-33.65,115.3333,55.04,60,0,7.52,clear sky
10,Lebu,CL,2022-05-06 22:12:09,-37.6167,-73.65,53.78,92,69,9.19,broken clouds
11,Viedma,AR,2022-05-06 22:12:10,-40.8135,-62.9967,61.61,50,83,9.01,broken clouds
12,Nanortalik,GL,2022-05-06 22:12:10,60.1432,-45.2371,34.09,98,100,2.91,overcast clouds
13,Rikitea,PF,2022-05-06 22:09:39,-23.1203,-134.9692,77.59,84,84,16.17,moderate rain
14,Kavieng,PG,2022-05-06 22:08:16,-2.5744,150.7967,84.4,74,100,15.84,overcast clouds
15,Sao Joao Da Barra,BR,2022-05-06 22:09:33,-21.6403,-41.0511,73.38,71,29,15.7,scattered clouds
16,Hamilton,US,2022-05-06 22:12:11,39.1834,-84.5333,66.97,93,100,6.91,light rain
17,Aklavik,CA,2022-05-06 22:12:12,68.2191,-135.0107,31.01,83,100,0.6,overcast clouds
18,Hermanus,ZA,2022-05-06 22:10:12,-34.4187,19.2345,55.8,87,100,9.15,moderate rain
19,Matara,LK,2022-05-06 22:12:13,5.9485,80.5353,79.54,90,100,8.46,overcast clouds
20,Bluff,NZ,2022-05-06 22:12:13,-46.6,168.3333,54.81,84,99,9.53,light rain
21,Bolondron,CU,2022-05-06 22:12:14,22.7633,-81.4469,84.4,49,55,3.31,moderate rain
22,Krasnoselkup,RU,2022-05-06 22:12:15,65.7,82.4667,21.94,85,100,23.96,overcast clouds
23,Mackay,AU,2022-05-06 22:12:15,-21.15,149.2,74.68,84,100,8.16,overcast clouds
24,Georgetown,MY,2022-05-06 22:08:26,5.4112,100.3354,82.33,89,20,0.0,few clouds
25,Karratha,AU,2022-05-06 22:12:16,-20.7377,116.8463,74.7,46,4,18.81,clear sky
26,Lompoc,US,2022-05-06 22:12:17,34.6391,-120.4579,78.69,66,0,32.01,clear sky
27,Upington,ZA,2022-05-06 22:12:19,-28.4478,21.2561,62.02,41,31,8.3,scattered clouds
28,Sur,OM,2022-05-06 22:12:21,22.5667,59.5289,82.26,66,0,10.16,clear sky
